DATE,city,precipitation
2018-08-19,SEA,0.0
2018-08-20,ATL,0.0
2018-08-20,SEA,0.0
2018-08-21,ATL,0.01
2018-08-21,SEA,0.0
2018-08-22,ATL,0.0
2018-08-22,SEA,0.0
2018-08-23,ATL,0.0
2018-08-23,SEA,0.0
2018-08-24,ATL,0.0
2018-08-24,SEA,0.0
2018-08-25,ATL,0.0
2018-08-25,SEA,0.0
2018-08-26,ATL,0.0
2018-08-26,SEA,0.01
2018-08-27,ATL,0.0
2018-08-27,SEA,0.27
2018-08-28,ATL,0.0
2018-08-28,SEA,0.0
2018-08-29,ATL,0.0
2018-08-29,SEA,0.0
2018-08-30,ATL,0.0
2018-08-30,SEA,0.0
2018-08-31,ATL,0.0
2018-08-31,SEA,0.25
2018-09-01,ATL,0.0
2018-09-01,SEA,0.0
2018-09-02,ATL,0.0
2018-09-02,SEA,0.0
2018-09-03,ATL,0.0
2018-09-03,SEA,0.0
2018-09-04,ATL,0.0
2018-09-04,SEA,0.0
2018-09-05,ATL,0.0
2018-09-05,SEA,0.0
2018-09-06,ATL,0.0
2018-09-06,SEA,0.0
2018-09-07,ATL,0.0
2018-09-07,SEA,0.0
2018-09-08,ATL,0.0
2018-09-08,SEA,0.14
2018-09-09,ATL,0.74
2018-09-09,SEA,0.0
2018-09-10,ATL,0.03
2018-09-10,SEA,0.17
2018-09-11,ATL,0.19
2018-09-11,SEA,0.01
2018-09-12,ATL,0.08
2018-09-12,SEA,0.0
2018-09-13,ATL,0.05
2018-09-13,SEA,0.0
2018-09-14,ATL,0.0
2018-09-14,SEA,0.1
2018-09-15,ATL,0.0
2018-09-15,SEA,0.08
2018-09-16,ATL,0.0
2018-09-16,SEA,0.28
2018-09-17,ATL,0.0
2018-09-17,SEA,0.05
2018-09-18,ATL,0.0
2018-09-18,SEA,0.0
2018-09-19,ATL,0.0
2018-09-19,SEA,0.0
2018-09-20,ATL,0.0
2018-09-20,SEA,0.03
2018-09-21,ATL,0.0
2018-09-21,SEA,0.0
2018-09-22,ATL,0.0
2018-09-22,SEA,0.006666666666666667
2018-09-23,ATL,0.0
2018-09-23,SEA,0.01
2018-09-24,ATL,0.0
2018-09-24,SEA,0.0
2018-09-25,ATL,0.0
2018-09-25,SEA,0.0
2018-09-26,ATL,0.28
2018-09-26,SEA,0.0
2018-09-27,ATL,0.11
2018-09-27,SEA,0.0
2018-09-28,ATL,0.0
2018-09-28,SEA,0.0
2018-09-29,ATL,0.0
2018-09-29,SEA,0.0
2018-09-30,ATL,0.0
2018-09-30,SEA,0.1
2018-10-01,ATL,0.0
2018-10-01,SEA,0.01
2018-10-02,ATL,0.0
2018-10-02,SEA,0.27
2018-10-03,ATL,0.0
2018-10-03,SEA,0.07
2018-10-04,ATL,0.0
2018-10-04,SEA,0.0
2018-10-05,ATL,0.0
2018-10-05,SEA,0.0
2018-10-06,ATL,0.0
2018-10-06,SEA,0.31
2018-10-07,ATL,0.0
2018-10-07,SEA,0.0
2018-10-08,ATL,0.0
2018-10-08,SEA,0.13
2018-10-09,ATL,0.11
2018-10-09,SEA,0.38
2018-10-10,ATL,3.42
2018-10-10,SEA,0.02
2018-10-11,ATL,0.33
2018-10-11,SEA,0.0
2018-10-12,ATL,0.0
2018-10-12,SEA,0.0
2018-10-13,ATL,0.0
2018-10-13,SEA,0.0
2018-10-14,ATL,0.0
2018-10-14,SEA,0.0
2018-10-15,ATL,0.0
2018-10-15,SEA,0.0
2018-10-16,ATL,0.0
2018-10-16,SEA,0.0
2018-10-17,ATL,0.0
2018-10-17,SEA,0.0
2018-10-18,ATL,0.0
2018-10-18,SEA,0.0
2018-10-19,ATL,0.0
2018-10-19,SEA,0.0
2018-10-20,ATL,0.18
2018-10-20,SEA,0.0
2018-10-21,ATL,0.0
2018-10-21,SEA,0.0
2018-10-22,ATL,0.0
2018-10-22,SEA,0.01
2018-10-23,ATL,0.0
2018-10-23,SEA,0.01
2018-10-24,ATL,0.0
2018-10-24,SEA,0.04
2018-10-25,ATL,0.25
2018-10-25,SEA,0.0
2018-10-26,ATL,0.46
2018-10-26,SEA,0.82
2018-10-27,ATL,0.0
2018-10-27,SEA,0.02
2018-10-28,ATL,0.0
2018-10-28,SEA,1.25
2018-10-29,ATL,0.0
2018-10-29,SEA,0.14
2018-10-30,ATL,0.0
2018-10-30,SEA,0.01
2018-10-31,ATL,0.0
2018-10-31,SEA,0.1
2018-11-01,ATL,0.48
2018-11-01,SEA,0.03
2018-11-02,ATL,0.04
2018-11-02,SEA,0.1
2018-11-03,ATL,0.0
2018-11-03,SEA,0.125
2018-11-04,ATL,0.0
2018-11-04,SEA,0.44
2018-11-05,ATL,0.12
2018-11-05,SEA,0.19749999999999998
2018-11-06,ATL,0.35
2018-11-06,SEA,0.2725
2018-11-07,ATL,0.69
2018-11-07,SEA,0.22
2018-11-08,ATL,0.15
2018-11-08,SEA,0.125
2018-11-09,ATL,0.77
2018-11-09,SEA,0.105
2018-11-10,ATL,0.0
2018-11-10,SEA,0.175
2018-11-11,ATL,0.0
2018-11-11,SEA,0.0425
2018-11-12,ATL,2.33
2018-11-12,SEA,0.0
2018-11-13,ATL,0.23
2018-11-13,SEA,0.0
2018-11-14,ATL,1.02
2018-11-14,SEA,0.12
2018-11-15,ATL,0.5
2018-11-15,SEA,0.08
2018-11-16,ATL,0.0
2018-11-16,SEA,0.04
2018-11-17,ATL,0.0
2018-11-17,SEA,0.0
2018-11-18,ATL,0.0
2018-11-18,SEA,0.0
2018-11-19,ATL,0.0
2018-11-19,SEA,0.0
2018-11-20,ATL,0.03
2018-11-20,SEA,0.0
2018-11-21,ATL,0.0
2018-11-21,SEA,0.0
2018-11-22,ATL,0.0
2018-11-22,SEA,0.29
2018-11-23,ATL,0.0
2018-11-23,SEA,0.78
2018-11-24,ATL,0.38
2018-11-24,SEA,0.08
2018-11-25,ATL,0.16
2018-11-25,SEA,0.0
2018-11-26,ATL,0.0
2018-11-26,SEA,0.32
2018-11-27,ATL,0.0
2018-11-27,SEA,1.56
2018-11-28,ATL,0.0
2018-11-28,SEA,0.45
2018-11-29,ATL,0.0
2018-11-29,SEA,0.15
2018-11-30,ATL,0.02
2018-11-30,SEA,0.01
2018-12-01,ATL,1.61
2018-12-01,SEA,0.18
2018-12-02,ATL,0.03
2018-12-02,SEA,0.29
2018-12-03,ATL,0.0
2018-12-03,SEA,0.02
2018-12-04,ATL,0.0
2018-12-04,SEA,0.0
2018-12-05,ATL,0.0
2018-12-05,SEA,0.0
2018-12-06,ATL,0.0
2018-12-06,SEA,0.0
2018-12-07,ATL,0.02
2018-12-07,SEA,0.0
2018-12-08,ATL,1.7
2018-12-08,SEA,0.01
2018-12-09,ATL,0.88
2018-12-09,SEA,0.0
2018-12-10,ATL,0.1
2018-12-10,SEA,0.56
2018-12-11,ATL,0.0
2018-12-11,SEA,0.14
2018-12-12,ATL,0.0
2018-12-12,SEA,0.37
2018-12-13,ATL,0.0
2018-12-13,SEA,0.15
2018-12-14,ATL,1.07
2018-12-14,SEA,0.18
2018-12-15,ATL,0.04
2018-12-15,SEA,0.05
2018-12-16,ATL,0.0
2018-12-16,SEA,0.38
2018-12-17,ATL,0.0
2018-12-17,SEA,0.3
2018-12-18,ATL,0.0
2018-12-18,SEA,0.83
2018-12-19,ATL,0.0
2018-12-19,SEA,0.27
2018-12-20,ATL,1.04
2018-12-20,SEA,0.18
2018-12-21,ATL,0.48
2018-12-21,SEA,0.16
2018-12-22,ATL,0.0
2018-12-22,SEA,0.01
2018-12-23,ATL,0.01
2018-12-23,SEA,0.83
2018-12-24,ATL,0.0
2018-12-24,SEA,0.05
2018-12-25,ATL,0.0
2018-12-25,SEA,0.02
2018-12-26,ATL,0.0
2018-12-26,SEA,0.03
2018-12-27,ATL,0.83
2018-12-27,SEA,0.12
2018-12-28,ATL,3.47
2018-12-28,SEA,0.07
2018-12-29,ATL,0.0
2018-12-29,SEA,0.32
2018-12-30,ATL,0.37
2018-12-30,SEA,0.44
2018-12-31,ATL,0.18
2018-12-31,SEA,0.01
2019-01-01,ATL,0.14
2019-01-01,SEA,0.0
2019-01-02,ATL,0.57
2019-01-02,SEA,0.0
2019-01-03,ATL,0.15
